source,target,weight
大连路,江浦公园,1472.465826
江浦公园,宁国路,1106.433097
宁国路,隆昌路,1599.23848
隆昌路,爱国路,1177.478891
爱国路,复兴岛,910.1965783
复兴岛,东陆路,2043.579088
东陆路,巨峰路,1204.779048
巨峰路,杨高北路,1472.959087
杨高北路,金京路,1418.663567
金京路,申江路,1290.719816
申江路,金海路,2933.286171
金海路,申江路,2933.286171
申江路,金京路,1290.719816
金京路,杨高北路,1418.673812
杨高北路,巨峰路,1472.958792
巨峰路,东陆路,1204.778737
东陆路,复兴岛,2043.569132
复兴岛,爱国路,910.1965783
爱国路,隆昌路,1177.478891
隆昌路,宁国路,1599.23848
宁国路,江浦公园,1106.417783
江浦公园,大连路,1472.481093
大连路,提篮桥,939.1583076
提篮桥,国际客运中心,1035.964349
国际客运中心,天潼路,1971.982254
天潼路,曲阜路,1193.498994
曲阜路,汉中路,1458.252196
汉中路,南京西路,1799.385115
南京西路,陕西南路,1620.013018
陕西南路,嘉善路,1836.508017
嘉善路,大木桥路,1171.411292
大木桥路,龙华中路,1804.071215
龙华中路,龙华,1505.172948
龙华,龙漕路,1266.581078
龙漕路,漕宝路,1185.152963
漕宝路,桂林公园,1512.217717
